speed_avg,acc_avg_p,acc_avg_n,speed_var,acc_var_p,acc_var_n,labels
3.79205,0.45248,-0.24235,5.83589,0.13109,0.1127,1.0
21.59645,0.57469,-0.16351,9.34885,3.71816,0.04807,0.0
10.23863,0.66144,-0.41729,37.09644,0.19427,0.30056,0.0
10.62246,0.61944,-0.44848,36.30509,0.17355,0.4104,0.0
11.56888,0.6322,-0.42503,29.86642,0.26874,0.25638,0.0
9.98459,0.70661,-0.40275,25.08058,0.25907,0.24713,0.0
5.72749,0.53946,-0.27765,2.60334,0.15446,0.14998,1.0
3.79185,0.54903,-0.35224,14.49676,0.14055,0.16939,1.0
8.71705,0.54816,-0.38553,23.89489,0.16408,0.24752,0.0
4.05253,0.60816,-0.39589,12.09528,0.232,0.30837,1.0
8.78556,0.57442,-0.28348,39.62567,0.20309,0.23954,0.0
13.18446,0.45177,-0.22077,51.54022,0.14556,0.15267,2.0
11.9983,0.46423,-0.2301,65.33638,0.10241,0.16734,2.0
8.75234,0.64607,-0.40412,24.51616,0.1971,0.32407,0.0
12.19223,0.59014,-0.31729,23.48263,0.15088,0.14945,0.0
9.78883,0.57595,-0.37548,71.93946,0.1978,0.19486,2.0
12.93737,0.53597,-0.26551,48.38076,0.17181,0.14009,0.0
8.09714,0.46356,-0.32229,21.80623,0.07465,0.17908,1.0
10.09063,0.60983,-0.41502,28.8439,0.2667,0.2673,0.0
9.85921,0.69967,-0.43794,27.03746,0.27169,0.32162,0.0
9.82107,0.56225,-0.35489,33.70078,0.1566,0.22172,0.0
7.51257,0.59521,-0.6115,21.57652,0.16788,0.44011,1.0
10.29363,0.50834,-0.29489,37.21137,0.16857,0.16607,0.0
11.03231,0.59484,-0.36668,38.60472,0.17144,0.33009,0.0
10.50966,0.61685,-0.40537,34.49632,0.2243,0.27634,0.0
28.95497,0.46553,-0.09292,4.55505,5.04788,0.02246,0.0
5.76229,0.48969,-0.22594,3.3813,0.11013,0.14092,1.0
6.0515,0.54883,-0.28455,2.09285,0.13643,0.16497,1.0
9.82434,0.64965,-0.40735,32.96342,0.23064,0.28844,0.0
10.84422,0.65801,-0.41928,36.34953,0.26479,0.34597,0.0
10.6752,0.68274,-0.36886,25.26833,0.24322,0.19648,0.0
13.09872,0.64005,-0.40763,23.96312,0.20316,0.41352,0.0
17.99902,0.36327,-0.1416,69.15744,0.06608,0.08495,2.0
13.7228,0.43,-0.37162,41.59511,0.2136,2.29516,0.0
15.1115,0.41428,-0.35847,23.35656,0.10644,0.27402,0.0
12.0433,0.41004,-0.32166,28.8238,0.09018,0.34502,0.0
27.3579,0.36797,-0.14056,55.07319,0.42001,0.24628,0.0
26.11369,0.39062,-0.15144,72.37663,0.35229,0.20868,2.0
5.1347,0.422,-0.20339,4.44569,0.14076,0.0826,1.0
7.19228,0.49961,-0.32456,12.34507,0.14374,0.20937,1.0
10.1146,0.56373,-0.33536,20.59736,0.15328,0.21845,0.0
15.68861,0.33439,-0.24099,10.56496,0.04216,0.0923,0.0
11.6417,0.47479,-0.32194,40.7825,0.0967,0.17523,0.0
9.7355,0.5348,-0.37147,24.68141,0.13617,0.3388,0.0
6.2463,0.56938,-0.31874,18.96966,0.15006,0.11488,1.0
11.01919,0.5619,-0.35885,26.90159,0.12966,0.19056,0.0
10.78354,0.6816,-0.52529,37.35203,0.23651,0.39623,0.0
5.87922,0.56124,-0.25184,5.3269,0.1786,0.09458,1.0
5.65972,0.91562,-0.43153,8.23996,2.00234,0.68265,1.0
1.13052,0.25066,-0.04526,0.05337,0.02341,0.01026,1.0
9.55426,0.64716,-0.52427,21.38607,0.36855,0.61005,0.0
9.10819,0.50507,-0.31213,36.00067,0.0941,0.1866,0.0
11.3172,0.62454,-0.55226,19.87738,0.14659,0.47697,0.0
5.56628,0.36174,-0.1161,2.97846,0.10192,0.03217,1.0
10.76644,0.64061,-0.39635,38.29569,0.23269,0.30487,0.0
9.22143,0.70783,-0.40603,38.51427,0.32283,0.27617,0.0
6.29612,0.39683,-0.19869,3.69259,0.08538,0.09582,1.0
11.673,0.53819,-0.52557,24.96421,0.17119,0.47092,0.0
12.70954,0.47991,-0.41752,52.68185,0.09694,0.31877,2.0
12.81212,0.55316,-0.44401,33.32563,0.15631,0.32865,0.0
9.28112,0.58987,-0.60187,22.97323,0.18971,0.51823,0.0
6.4672,0.54347,-0.38094,10.4093,0.11965,0.18829,1.0
12.54224,0.59501,-0.48083,27.42148,0.15612,0.4008,0.0
14.3529,0.51387,-0.2433,33.16465,0.23498,0.14054,0.0
9.35312,0.81117,-0.49589,34.10928,0.70614,0.99718,0.0
10.99189,0.78412,-0.47934,36.91254,0.33595,0.35924,0.0
7.37171,0.64151,-0.4619,22.29295,0.19227,0.35174,1.0
11.68322,0.67021,-0.38613,31.17332,0.20478,0.25128,0.0
12.23786,0.59854,-0.41066,31.72111,0.22114,0.24258,0.0
10.30702,0.60065,-0.35697,44.10697,0.25575,0.30408,0.0
6.91887,0.74642,-0.49264,13.95059,0.32374,0.29023,1.0
26.66428,0.35924,-0.17138,37.60015,0.02726,0.0524,0.0
26.51799,0.3566,-0.1597,23.31943,0.03532,0.0718,0.0
8.58927,0.52483,-0.33803,18.98442,0.11388,0.16066,1.0
8.09813,0.57991,-0.36992,22.35333,0.17077,0.26818,1.0
13.03321,0.53802,-0.33202,18.96898,0.17017,0.14067,0.0
10.09958,0.56855,-0.40332,26.27825,0.14525,0.22987,0.0
5.43058,0.42263,-0.2318,2.37967,0.11035,0.11991,1.0
6.24449,0.42271,-0.17406,3.12471,0.27396,0.09286,1.0
8.70006,0.54738,-0.28219,23.20049,0.13417,0.16654,0.0
11.41043,0.70236,-0.50852,26.19285,0.28111,0.44798,0.0
17.59662,0.46662,-0.25208,33.46025,0.1125,0.13421,0.0
6.89527,0.62702,-0.46579,13.81891,0.37415,0.52769,1.0
9.7606,0.59251,-0.39074,27.87758,0.17933,0.2412,0.0
14.09874,0.57095,-0.41528,55.39224,0.17685,0.28427,2.0
14.81594,0.41568,-0.20807,33.0043,0.0735,0.07748,0.0
13.49554,0.39484,-0.21074,21.85483,0.07288,0.10618,0.0
11.53766,0.62158,-0.42559,39.36931,0.23256,0.3553,0.0
1.30952,0.24132,-0.03214,0.04715,0.00546,0.00697,1.0
10.71437,0.5795,-0.41082,26.98481,0.18031,0.29081,0.0
9.63953,0.73245,-0.49194,24.78877,0.4033,0.39973,0.0
7.513,0.72676,-0.4376,21.05367,0.31207,0.3886,1.0
10.93093,0.59954,-0.35458,35.53743,0.19736,0.24464,0.0
11.78605,0.57595,-0.33156,35.81987,0.19237,0.18369,0.0
10.07348,0.58928,-0.42203,17.96603,0.26759,0.30582,0.0
14.66318,0.40352,-0.22473,23.21603,0.08773,0.13473,0.0
9.82167,0.41823,-0.2715,12.2491,0.11278,0.20063,1.0
14.88745,0.42422,-0.26015,24.40826,0.088,0.16023,0.0
16.15837,0.35215,-0.14508,19.57028,0.06335,0.09757,0.0
17.3037,0.43804,-0.19316,12.31558,0.78812,0.9609,0.0
14.21967,0.39793,-0.28458,23.3197,0.05416,0.1832,0.0
15.43459,0.36135,-0.17893,10.04035,0.05857,0.0869,0.0
13.02864,0.5013,-0.22157,6.56311,0.83273,0.44532,1.0
5.42459,0.53672,-0.24638,5.92031,0.31509,0.158,1.0
6.2586,0.29748,-0.12753,14.39679,0.02968,0.03938,1.0
7.85209,0.68378,-0.40793,25.96845,0.24112,0.27822,0.0
17.78676,0.52403,-0.44716,32.14395,0.0852,0.33986,0.0
19.68339,0.5609,-0.44248,47.64075,0.14908,0.26257,0.0
18.53558,0.44456,-0.1528,26.78367,0.07665,0.0856,0.0
13.34904,0.55888,-0.37475,54.41999,0.159,0.20975,2.0
14.91074,0.43847,-0.28112,16.27985,0.08846,0.17446,0.0
8.55679,0.59159,-0.47619,20.90953,0.19434,0.28095,1.0
10.04419,0.4886,-0.35317,25.35474,0.06606,0.17544,0.0
14.281,0.47233,-0.40241,52.26188,0.11507,0.24406,2.0
10.91613,0.43392,-0.17728,10.41426,0.08644,0.08911,1.0
19.25897,0.41708,-0.18864,46.23882,0.12335,0.12821,0.0
27.34593,0.37916,-0.11842,37.09937,1.88665,0.06126,0.0
9.91952,0.3096,-0.16849,26.81941,0.02927,0.0835,0.0
8.71573,0.64194,-0.43928,24.47585,0.15542,0.32955,0.0
13.62023,0.666,-0.40319,74.23442,0.37792,0.28456,2.0
